"area_cat","Number_of_Lakes"
"Zone 1_(1.02e+03,1.43e+03]",2
"Zone 1_(1.43e+03,3.27e+03]",2
"Zone 1_(144,1.02e+03]",11
"Zone 1_(45,144]",48
"Zone 1_[10,45]",176
"Zone 2_(215,467]",5
"Zone 2_(467,805]",2
"Zone 2_(49,215]",14
"Zone 2_(805,1.59e+03]",1
"Zone 2_[10,49]",70
"Zone 3_(1.78e+03,3.26e+03]",9
"Zone 3_(182,1.78e+03]",38
"Zone 3_(3.26e+03,7.44e+03]",4
"Zone 3_(7.44e+03,1.76e+04]",2
"Zone 3_[10,182]",680
"Zone 4_(1.32e+03,1.86e+03]",6
"Zone 4_(175,429]",32
"Zone 4_(429,1.32e+03]",11
"Zone 4_(55,175]",84
"Zone 4_[10,55]",368
"Zone 5_(1.89e+03,3.97e+03]",3
"Zone 5_(3.97e+03,9.66e+03]",2
"Zone 5_(730,1.89e+03]",8
"Zone 5_(9.66e+03,1.25e+04]",1
"Zone 5_[10,730]",111
"Zone 6_(150,163]",1
"Zone 6_(163,228]",1
"Zone 6_(228,1.29e+05]",1
"Zone 6_(59,150]",1
"Zone 6_[10,59]",5
